concept,category,question,label,predicted,correct
dresser,container,Is a dresser a container? Answer only in yes or no.,Yes,yes,True
dresser,scientific equipment,Is a dresser a scientific equipment? Answer only in yes or no.,No,yes,False
dresser,furniture,Is a dresser a furniture? Answer only in yes or no.,Yes,yes,True
dresser,mammal,Is a dresser a mammal? Answer only in yes or no.,No,yes,False
drill,tool,Is a drill a tool? Answer only in yes or no.,Yes,yes,True
drill,weapon,Is a drill a weapon? Answer only in yes or no.,No,yes,False
drill,electronic device,Is a drill an electronic device? Answer only in yes or no.,Yes,yes,True
drill,part of car,Is a drill a part of car? Answer only in yes or no.,No,yes,False
drill,construction equipment,Is a drill a construction equipment? Answer only in yes or no.,Yes,yes,True
drill,scientific equipment,Is a drill a scientific equipment? Answer only in yes or no.,No,yes,False
drill,hardware,Is a drill a hardware? Answer only in yes or no.,Yes,yes,True
drill,candy,Is a drill a candy? Answer only in yes or no.,No,yes,False
drink,drink,Is a drink a drink? Answer only in yes or no.,Yes,yes,True
drink,electronic device,Is a drink an electronic device? Answer only in yes or no.,No,yes,False
drum,musical instrument,Is a drum a musical instrument? Answer only in yes or no.,Yes,yes,True
drum,insect,Is a drum an insect? Answer only in yes or no.,No,yes,False
dryer,electronic device,Is a dryer an electronic device? Answer only in yes or no.,Yes,yes,True
dryer,game,Is a dryer a game? Answer only in yes or no.,No,yes,False
dryer,home appliance,Is a dryer a home appliance? Answer only in yes or no.,Yes,yes,True
dryer,musical instrument,Is a dryer a musical instrument? Answer only in yes or no.,No,yes,False
duck,bird,Is a duck a bird? Answer only in yes or no.,Yes,yes,True
duck,school supply,Is a duck a school supply? Answer only in yes or no.,No,yes,False
duck,animal,Is a duck an animal? Answer only in yes or no.,Yes,yes,True
duck,clothing,Is a duck a clothing? Answer only in yes or no.,No,yes,False
duck,farm animal,Is a duck a farm animal? Answer only in yes or no.,Yes,yes,True
duck,garden tool,Is a duck a garden tool? Answer only in yes or no.,No,yes,False
duckling,bird,Is a duckling a bird? Answer only in yes or no.,Yes,yes,True
duckling,watercraft,Is a duckling a watercraft? Answer only in yes or no.,No,yes,False
duckling,animal,Is a duckling an animal? Answer only in yes or no.,Yes,yes,True
duckling,home decor,Is a duckling a home decor? Answer only in yes or no.,No,yes,False
duct,hardware,Is a duct a hardware? Answer only in yes or no.,Yes,yes,True
duct,furniture,Is a duct a furniture? Answer only in yes or no.,No,yes,False
duffel_bag,container,Is a duffel bag a container? Answer only in yes or no.,Yes,yes,True
duffel_bag,construction equipment,Is a duffel bag a construction equipment? Answer only in yes or no.,No,yes,False
dumbbell,sports equipment,Is a dumbbell a sports equipment? Answer only in yes or no.,Yes,yes,True
dumbbell,kitchen tool,Is a dumbbell a kitchen tool? Answer only in yes or no.,No,yes,False
dumpling,food,Is a dumpling a food? Answer only in yes or no.,Yes,yes,True
dumpling,seafood,Is a dumpling a seafood? Answer only in yes or no.,No,yes,False
dumpster,container,Is a dumpster a container? Answer only in yes or no.,Yes,yes,True
dumpster,hardware,Is a dumpster a hardware? Answer only in yes or no.,No,yes,False
duster,tool,Is a duster a tool? Answer only in yes or no.,Yes,yes,True
duster,medical equipment,Is a duster a medical equipment? Answer only in yes or no.,No,yes,False
dustpan,tool,Is a dustpan a tool? Answer only in yes or no.,Yes,yes,True
dustpan,game,Is a dustpan a game? Answer only in yes or no.,No,yes,False
dustpan,container,Is a dustpan a container? Answer only in yes or no.,Yes,yes,True
dustpan,insect,Is a dustpan an insect? Answer only in yes or no.,No,yes,False
dynamite,weapon,Is a dynamite a weapon? Answer only in yes or no.,Yes,yes,True
dynamite,dessert,Is a dynamite a dessert? Answer only in yes or no.,No,yes,False
eagle,bird,Is an eagle a bird? Answer only in yes or no.,Yes,yes,True
eagle,part of car,Is an eagle a part of car? Answer only in yes or no.,No,yes,False
eagle,animal,Is an eagle an animal? Answer only in yes or no.,Yes,yes,True
eagle,clothing accessory,Is an eagle a clothing accessory? Answer only in yes or no.,No,yes,False
earplug,safety equipment,Is an earplug a safety equipment? Answer only in yes or no.,Yes,yes,True
earplug,headwear,Is an earplug a headwear? Answer only in yes or no.,No,yes,False
earring,clothing accessory,Is an earring a clothing accessory? Answer only in yes or no.,Yes,yes,True
earring,drink,Is an earring a drink? Answer only in yes or no.,No,yes,False
earring,jewelry,Is an earring a jewelry? Answer only in yes or no.,Yes,yes,True
earring,kitchen appliance,Is an earring a kitchen appliance? Answer only in yes or no.,No,yes,False
earwig,insect,Is an earwig an insect? Answer only in yes or no.,Yes,yes,True
earwig,body part,Is an earwig a body part? Answer only in yes or no.,No,yes,False
earwig,animal,Is an earwig an animal? Answer only in yes or no.,Yes,yes,True
earwig,vehicle,Is an earwig a vehicle? Answer only in yes or no.,No,yes,False
easel,arts and crafts supply,Is an easel an arts and crafts supply? Answer only in yes or no.,Yes,yes,True
easel,bird,Is an easel a bird? Answer only in yes or no.,No,yes,False
easter_egg,food,Is an easter egg a food? Answer only in yes or no.,Yes,yes,True
easter_egg,condiment,Is an easter egg a condiment? Answer only in yes or no.,No,yes,False
eel,seafood,Is an eel a seafood? Answer only in yes or no.,Yes,yes,True
eel,mammal,Is an eel a mammal? Answer only in yes or no.,No,yes,False
eel,food,Is an eel a food? Answer only in yes or no.,Yes,yes,True
eel,vehicle,Is an eel a vehicle? Answer only in yes or no.,No,yes,False
eel,animal,Is an eel an animal? Answer only in yes or no.,Yes,yes,True
eel,garden tool,Is an eel a garden tool? Answer only in yes or no.,No,yes,False
eel,sea animal,Is an eel a sea animal? Answer only in yes or no.,Yes,yes,True
eel,insect,Is an eel an insect? Answer only in yes or no.,No,yes,False
egg,food,Is an egg a food? Answer only in yes or no.,Yes,yes,True
egg,kitchen tool,Is an egg a kitchen tool? Answer only in yes or no.,No,yes,False
egg,breakfast food,Is an egg a breakfast food? Answer only in yes or no.,Yes,yes,True
egg,school supply,Is an egg a school supply? Answer only in yes or no.,No,yes,False
egg_roll,food,Is an egg roll a food? Answer only in yes or no.,Yes,yes,True
egg_roll,farm animal,Is an egg roll a farm animal? Answer only in yes or no.,No,yes,False
eggbeater,tool,Is an eggbeater a tool? Answer only in yes or no.,Yes,yes,True
eggbeater,plant,Is an eggbeater a plant? Answer only in yes or no.,No,yes,False
eggbeater,kitchen tool,Is an eggbeater a kitchen tool? Answer only in yes or no.,Yes,yes,True
eggbeater,medical equipment,Is an eggbeater a medical equipment? Answer only in yes or no.,No,yes,False
eggnog,drink,Is an eggnog a drink? Answer only in yes or no.,Yes,yes,True
eggnog,women's clothing,Is an eggnog a women's clothing? Answer only in yes or no.,No,yes,False
eggplant,food,Is an eggplant a food? Answer only in yes or no.,Yes,yes,True
eggplant,footwear,Is an eggplant a footwear? Answer only in yes or no.,No,yes,False
eggplant,vegetable,Is an eggplant a vegetable? Answer only in yes or no.,Yes,yes,True
eggplant,clothing accessory,Is an eggplant a clothing accessory? Answer only in yes or no.,No,yes,False
electric_chair,electronic device,Is an electric chair an electronic device? Answer only in yes or no.,Yes,yes,True
electric_chair,weapon,Is an electric chair a weapon? Answer only in yes or no.,No,yes,False
elephant,mammal,Is an elephant a mammal? Answer only in yes or no.,Yes,yes,True
elephant,container,Is an elephant a container? Answer only in yes or no.,No,yes,False
elephant,animal,Is an elephant an animal? Answer only in yes or no.,Yes,yes,True
elephant,weapon,Is an elephant a weapon? Answer only in yes or no.,No,yes,False
enchilada,food,Is an enchilada a food? Answer only in yes or no.,Yes,yes,True
enchilada,insect,Is an enchilada an insect? Answer only in yes or no.,No,yes,False
engine,part of car,Is an engine a part of car? Answer only in yes or no.,Yes,yes,True
engine,sports equipment,Is an engine a sports equipment? Answer only in yes or no.,No,yes,False
envelope,office supply,Is an envelope an office supply? Answer only in yes or no.,Yes,yes,True
envelope,condiment,Is an envelope a condiment? Answer only in yes or no.,No,yes,False
eraser,arts and crafts supply,Is an eraser an arts and crafts supply? Answer only in yes or no.,Yes,yes,True
eraser,outerwear,Is an eraser an outerwear? Answer only in yes or no.,No,yes,False
eraser,office supply,Is an eraser an office supply? Answer only in yes or no.,Yes,yes,True
eraser,home appliance,Is an eraser a home appliance? Answer only in yes or no.,No,yes,False
eraser,school supply,Is an eraser a school supply? Answer only in yes or no.,Yes,yes,True
eraser,clothing accessory,Is an eraser a clothing accessory? Answer only in yes or no.,No,yes,False
exhaust_pipe,part of car,Is an exhaust pipe a part of car? Answer only in yes or no.,Yes,yes,True
exhaust_pipe,kitchen appliance,Is an exhaust pipe a kitchen appliance? Answer only in yes or no.,No,yes,False
extinguisher,safety equipment,Is an extinguisher a safety equipment? Answer only in yes or no.,Yes,yes,True
extinguisher,clothing,Is an extinguisher a clothing? Answer only in yes or no.,No,yes,False
eye_patch,medical equipment,Is an eye patch a medical equipment? Answer only in yes or no.,Yes,yes,True
eye_patch,women's clothing,Is an eye patch a women's clothing? Answer only in yes or no.,No,yes,False
eye_patch,clothing accessory,Is an eye patch a clothing accessory? Answer only in yes or no.,Yes,yes,True
eye_patch,mammal,Is an eye patch a mammal? Answer only in yes or no.,No,yes,False
eye_patch,clothing,Is an eye patch a clothing? Answer only in yes or no.,Yes,yes,True
eye_patch,lighting,Is an eye patch a lighting? Answer only in yes or no.,No,yes,False
eyedropper,medical equipment,Is an eyedropper a medical equipment? Answer only in yes or no.,Yes,yes,True
eyedropper,home appliance,Is an eyedropper a home appliance? Answer only in yes or no.,No,yes,False
eyeliner,personal hygiene item,Is an eyeliner a personal hygiene item? Answer only in yes or no.,Yes,yes,True
eyeliner,footwear,Is an eyeliner a footwear? Answer only in yes or no.,No,yes,False
face_mask,safety equipment,Is a face mask a safety equipment? Answer only in yes or no.,Yes,yes,True
face_mask,jewelry,Is a face mask a jewelry? Answer only in yes or no.,No,yes,False
face_mask,protective clothing,Is a face mask a protective clothing? Answer only in yes or no.,Yes,yes,True
face_mask,arts and crafts supply,Is a face mask an arts and crafts supply? Answer only in yes or no.,No,yes,False
face_mask,sports equipment,Is a face mask a sports equipment? Answer only in yes or no.,Yes,yes,True
face_mask,game,Is a face mask a game? Answer only in yes or no.,No,yes,False
fan,electronic device,Is a fan an electronic device? Answer only in yes or no.,Yes,yes,True
fan,watercraft,Is a fan a watercraft? Answer only in yes or no.,No,yes,False
fan,home appliance,Is a fan a home appliance? Answer only in yes or no.,Yes,yes,True
fan,part of car,Is a fan a part of car? Answer only in yes or no.,No,yes,False
faucet,hardware,Is a faucet a hardware? Answer only in yes or no.,Yes,yes,True
faucet,headwear,Is a faucet a headwear? Answer only in yes or no.,No,yes,False
fern,plant,Is a fern a plant? Answer only in yes or no.,Yes,yes,True
fern,protective clothing,Is a fern a protective clothing? Answer only in yes or no.,No,yes,False
ferret,mammal,Is a ferret a mammal? Answer only in yes or no.,Yes,yes,True
ferret,clothing,Is a ferret a clothing? Answer only in yes or no.,No,yes,False
ferret,animal,Is a ferret an animal? Answer only in yes or no.,Yes,yes,True
ferret,scientific equipment,Is a ferret a scientific equipment? Answer only in yes or no.,No,yes,False
ferry,vehicle,Is a ferry a vehicle? Answer only in yes or no.,Yes,yes,True
ferry,plant,Is a ferry a plant? Answer only in yes or no.,No,yes,False
ferry,watercraft,Is a ferry a watercraft? Answer only in yes or no.,Yes,yes,True
ferry,container,Is a ferry a container? Answer only in yes or no.,No,yes,False
fig,food,Is a fig a food? Answer only in yes or no.,Yes,yes,True
fig,toy,Is a fig a toy? Answer only in yes or no.,No,yes,False
fig,fruit,Is a fig a fruit? Answer only in yes or no.,Yes,yes,True
fig,candy,Is a fig a candy? Answer only in yes or no.,No,yes,False
figurine,home decor,Is a figurine a home decor? Answer only in yes or no.,Yes,yes,True
figurine,outerwear,Is a figurine an outerwear? Answer only in yes or no.,No,yes,False
file1,tool,Is a file1 a tool? Answer only in yes or no.,Yes,yes,True
file1,sports equipment,Is a file1 a sports equipment? Answer only in yes or no.,No,yes,False
file1,hardware,Is a file1 a hardware? Answer only in yes or no.,Yes,yes,True
file1,mammal,Is a file1 a mammal? Answer only in yes or no.,No,yes,False
file2,office supply,Is a file2 an office supply? Answer only in yes or no.,Yes,yes,True
file2,lighting,Is a file2 a lighting? Answer only in yes or no.,No,yes,False
filing_cabinet,container,Is a filing cabinet a container? Answer only in yes or no.,Yes,yes,True
filing_cabinet,kitchen tool,Is a filing cabinet a kitchen tool? Answer only in yes or no.,No,yes,False
filing_cabinet,furniture,Is a filing cabinet a furniture? Answer only in yes or no.,Yes,yes,True
filing_cabinet,medical equipment,Is a filing cabinet a medical equipment? Answer only in yes or no.,No,yes,False
finger,body part,Is a finger a body part? Answer only in yes or no.,Yes,yes,True
finger,women's clothing,Is a finger a women's clothing? Answer only in yes or no.,No,yes,False
fire_alarm,safety equipment,Is a fire alarm a safety equipment? Answer only in yes or no.,Yes,yes,True
fire_alarm,construction equipment,Is a fire alarm a construction equipment? Answer only in yes or no.,No,yes,False
firetruck,vehicle,Is a firetruck a vehicle? Answer only in yes or no.,Yes,yes,True
firetruck,candy,Is a firetruck a candy? Answer only in yes or no.,No,yes,False
first-aid_kit,medical equipment,Is a first-aid kit a medical equipment? Answer only in yes or no.,Yes,yes,True
first-aid_kit,protective clothing,Is a first-aid kit a protective clothing? Answer only in yes or no.,No,yes,False
fish,seafood,Is a fish a seafood? Answer only in yes or no.,Yes,yes,True
fish,arts and crafts supply,Is a fish an arts and crafts supply? Answer only in yes or no.,No,yes,False
fish,food,Is a fish a food? Answer only in yes or no.,Yes,yes,True
fish,home decor,Is a fish a home decor? Answer only in yes or no.,No,yes,False
fish,animal,Is a fish an animal? Answer only in yes or no.,Yes,yes,True
fish,kitchen tool,Is a fish a kitchen tool? Answer only in yes or no.,No,yes,False
fish,sea animal,Is a fish a sea animal? Answer only in yes or no.,Yes,yes,True
fish,clothing,Is a fish a clothing? Answer only in yes or no.,No,yes,False
fishbowl,container,Is a fishbowl a container? Answer only in yes or no.,Yes,yes,True
fishbowl,condiment,Is a fishbowl a condiment? Answer only in yes or no.,No,yes,False
fishnet_stockings,women's clothing,Is a fishnet stockings a women's clothing? Answer only in yes or no.,Yes,yes,True
fishnet_stockings,vegetable,Is a fishnet stockings a vegetable? Answer only in yes or no.,No,yes,False
fishnet_stockings,clothing,Is a fishnet stockings a clothing? Answer only in yes or no.,Yes,yes,True
fishnet_stockings,farm animal,Is a fishnet stockings a farm animal? Answer only in yes or no.,No,yes,False
flamethrower,weapon,Is a flamethrower a weapon? Answer only in yes or no.,Yes,yes,True
flamethrower,home decor,Is a flamethrower a home decor? Answer only in yes or no.,No,yes,False
flamingo,bird,Is a flamingo a bird? Answer only in yes or no.,Yes,yes,True
flamingo,toy,Is a flamingo a toy? Answer only in yes or no.,No,yes,False
flamingo,animal,Is a flamingo an animal? Answer only in yes or no.,Yes,yes,True
flamingo,condiment,Is a flamingo a condiment? Answer only in yes or no.,No,yes,False
flan,food,Is a flan a food? Answer only in yes or no.,Yes,yes,True
flan,breakfast food,Is a flan a breakfast food? Answer only in yes or no.,No,yes,False
flan,dessert,Is a flan a dessert? Answer only in yes or no.,Yes,yes,True
flan,container,Is a flan a container? Answer only in yes or no.,No,yes,False
flashbulb,lighting,Is a flashbulb a lighting? Answer only in yes or no.,Yes,yes,True
flashbulb,outerwear,Is a flashbulb an outerwear? Answer only in yes or no.,No,yes,False
flashlight,lighting,Is a flashlight a lighting? Answer only in yes or no.,Yes,yes,True
flashlight,school supply,Is a flashlight a school supply? Answer only in yes or no.,No,yes,False
flask,container,Is a flask a container? Answer only in yes or no.,Yes,yes,True
flask,vegetable,Is a flask a vegetable? Answer only in yes or no.,No,yes,False
flatiron,personal hygiene item,Is a flatiron a personal hygiene item? Answer only in yes or no.,Yes,yes,True
flatiron,hardware,Is a flatiron a hardware? Answer only in yes or no.,No,yes,False
flatiron,home appliance,Is a flatiron a home appliance? Answer only in yes or no.,Yes,yes,True
flatiron,part of car,Is a flatiron a part of car? Answer only in yes or no.,No,yes,False
flip_flop,clothing,Is a flip flop a clothing? Answer only in yes or no.,Yes,yes,True
flip_flop,game,Is a flip flop a game? Answer only in yes or no.,No,yes,False
flip_flop,footwear,Is a flip flop a footwear? Answer only in yes or no.,Yes,yes,True
flip_flop,breakfast food,Is a flip flop a breakfast food? Answer only in yes or no.,No,yes,False
flipper,footwear,Is a flipper a footwear? Answer only in yes or no.,Yes,yes,True
flipper,plant,Is a flipper a plant? Answer only in yes or no.,No,yes,False
flipper,sports equipment,Is a flipper a sports equipment? Answer only in yes or no.,Yes,yes,True
flipper,drink,Is a flipper a drink? Answer only in yes or no.,No,yes,False
flower,plant,Is a flower a plant? Answer only in yes or no.,Yes,yes,True
flower,headwear,Is a flower a headwear? Answer only in yes or no.,No,yes,False
flute,musical instrument,Is a flute a musical instrument? Answer only in yes or no.,Yes,yes,True
flute,lighting,Is a flute a lighting? Answer only in yes or no.,No,yes,False
fly,insect,Is a fly an insect? Answer only in yes or no.,Yes,yes,True
fly,seafood,Is a fly a seafood? Answer only in yes or no.,No,yes,False
fly,animal,Is a fly an animal? Answer only in yes or no.,Yes,yes,True
fly,musical instrument,Is a fly a musical instrument? Answer only in yes or no.,No,yes,False
flyswatter,tool,Is a flyswatter a tool? Answer only in yes or no.,Yes,yes,True
flyswatter,personal hygiene item,Is a flyswatter a personal hygiene item? Answer only in yes or no.,No,yes,False
fondue,food,Is a fondue a food? Answer only in yes or no.,Yes,yes,True
fondue,clothing,Is a fondue a clothing? Answer only in yes or no.,No,yes,False
food_processor,kitchen appliance,Is a food processor a kitchen appliance? Answer only in yes or no.,Yes,yes,True
food_processor,watercraft,Is a food processor a watercraft? Answer only in yes or no.,No,yes,False
food_processor,electronic device,Is a food processor an electronic device? Answer only in yes or no.,Yes,yes,True
food_processor,farm animal,Is a food processor a farm animal? Answer only in yes or no.,No,yes,False
food_processor,home appliance,Is a food processor a home appliance? Answer only in yes or no.,Yes,yes,True
food_processor,furniture,Is a food processor a furniture? Answer only in yes or no.,No,yes,False
football_helmet,headwear,Is a football helmet a headwear? Answer only in yes or no.,Yes,yes,True
football_helmet,jewelry,Is a football helmet a jewelry? Answer only in yes or no.,No,yes,False
football_helmet,safety equipment,Is a football helmet a safety equipment? Answer only in yes or no.,Yes,yes,True
football_helmet,jewelry,Is a football helmet a jewelry? Answer only in yes or no.,No,yes,False
football_helmet,protective clothing,Is a football helmet a protective clothing? Answer only in yes or no.,Yes,yes,True
football_helmet,vehicle,Is a football helmet a vehicle? Answer only in yes or no.,No,yes,False
football_helmet,sports equipment,Is a football helmet a sports equipment? Answer only in yes or no.,Yes,yes,True
football_helmet,footwear,Is a football helmet a footwear? Answer only in yes or no.,No,yes,False
footbath,container,Is a footbath a container? Answer only in yes or no.,Yes,yes,True
footbath,weapon,Is a footbath a weapon? Answer only in yes or no.,No,yes,False
footrest,furniture,Is a footrest a furniture? Answer only in yes or no.,Yes,yes,True
footrest,animal,Is a footrest an animal? Answer only in yes or no.,No,yes,False
fork,tool,Is a fork a tool? Answer only in yes or no.,Yes,yes,True
fork,scientific equipment,Is a fork a scientific equipment? Answer only in yes or no.,No,yes,False
forklift,vehicle,Is a forklift a vehicle? Answer only in yes or no.,Yes,yes,True
forklift,seafood,Is a forklift a seafood? Answer only in yes or no.,No,yes,False
fountain_pen,arts and crafts supply,Is a fountain pen an arts and crafts supply? Answer only in yes or no.,Yes,yes,True
fountain_pen,headwear,Is a fountain pen a headwear? Answer only in yes or no.,No,yes,False
fountain_pen,tool,Is a fountain pen a tool? Answer only in yes or no.,Yes,yes,True
fountain_pen,furniture,Is a fountain pen a furniture? Answer only in yes or no.,No,yes,False
fountain_pen,office supply,Is a fountain pen an office supply? Answer only in yes or no.,Yes,yes,True
fountain_pen,personal hygiene item,Is a fountain pen a personal hygiene item? Answer only in yes or no.,No,yes,False
fountain_pen,school supply,Is a fountain pen a school supply? Answer only in yes or no.,Yes,yes,True
fountain_pen,clothing,Is a fountain pen a clothing? Answer only in yes or no.,No,yes,False
fox,mammal,Is a fox a mammal? Answer only in yes or no.,Yes,yes,True
fox,watercraft,Is a fox a watercraft? Answer only in yes or no.,No,yes,False
fox,animal,Is a fox an animal? Answer only in yes or no.,Yes,yes,True
fox,toy,Is a fox a toy? Answer only in yes or no.,No,yes,False
frame,home decor,Is a frame a home decor? Answer only in yes or no.,Yes,yes,True
frame,drink,Is a frame a drink? Answer only in yes or no.,No,yes,False
french_horn,musical instrument,Is a french horn a musical instrument? Answer only in yes or no.,Yes,yes,True
french_horn,clothing accessory,Is a french horn a clothing accessory? Answer only in yes or no.,No,yes,False
frisbee,toy,Is a frisbee a toy? Answer only in yes or no.,Yes,yes,True
frisbee,game,Is a frisbee a game? Answer only in yes or no.,No,yes,False
frisbee,sports equipment,Is a frisbee a sports equipment? Answer only in yes or no.,Yes,yes,True
frisbee,furniture,Is a frisbee a furniture? Answer only in yes or no.,No,yes,False
frog,animal,Is a frog an animal? Answer only in yes or no.,Yes,yes,True
frog,fruit,Is a frog a fruit? Answer only in yes or no.,No,yes,False
fruit,food,Is a fruit a food? Answer only in yes or no.,Yes,yes,True
fruit,part of car,Is a fruit a part of car? Answer only in yes or no.,No,yes,False
fruit,fruit,Is a fruit a fruit? Answer only in yes or no.,Yes,yes,True
fruit,condiment,Is a fruit a condiment? Answer only in yes or no.,No,yes,False
fruitcake,food,Is a fruitcake a food? Answer only in yes or no.,Yes,yes,True
fruitcake,sea animal,Is a fruitcake a sea animal? Answer only in yes or no.,No,yes,False
fruitcake,dessert,Is a fruitcake a dessert? Answer only in yes or no.,Yes,yes,True
fruitcake,women's clothing,Is a fruitcake a women's clothing? Answer only in yes or no.,No,yes,False
fudge,food,Is a fudge a food? Answer only in yes or no.,Yes,yes,True
fudge,condiment,Is a fudge a condiment? Answer only in yes or no.,No,yes,False
fudge,candy,Is a fudge a candy? Answer only in yes or no.,Yes,yes,True
fudge,hardware,Is a fudge a hardware? Answer only in yes or no.,No,yes,False
fudge,dessert,Is a fudge a dessert? Answer only in yes or no.,Yes,yes,True
fudge,clothing accessory,Is a fudge a clothing accessory? Answer only in yes or no.,No,yes,False
funnel,tool,Is a funnel a tool? Answer only in yes or no.,Yes,yes,True
funnel,condiment,Is a funnel a condiment? Answer only in yes or no.,No,yes,False
funnel,scientific equipment,Is a funnel a scientific equipment? Answer only in yes or no.,Yes,yes,True
funnel,protective clothing,Is a funnel a protective clothing? Answer only in yes or no.,No,yes,False
funnel,kitchen tool,Is a funnel a kitchen tool? Answer only in yes or no.,Yes,yes,True
funnel,vegetable,Is a funnel a vegetable? Answer only in yes or no.,No,yes,False
fur_coat,clothing,Is a fur coat a clothing? Answer only in yes or no.,Yes,yes,True
fur_coat,musical instrument,Is a fur coat a musical instrument? Answer only in yes or no.,No,yes,False
fur_coat,outerwear,Is a fur coat an outerwear? Answer only in yes or no.,Yes,yes,True
fur_coat,construction equipment,Is a fur coat a construction equipment? Answer only in yes or no.,No,yes,False
garbage_truck,vehicle,Is a garbage truck a vehicle? Answer only in yes or no.,Yes,yes,True
garbage_truck,drink,Is a garbage truck a drink? Answer only in yes or no.,No,yes,False
garlic,food,Is a garlic a food? Answer only in yes or no.,Yes,yes,True
garlic,safety equipment,Is a garlic a safety equipment? Answer only in yes or no.,No,yes,False
garlic,vegetable,Is a garlic a vegetable? Answer only in yes or no.,Yes,yes,True
garlic,weapon,Is a garlic a weapon? Answer only in yes or no.,No,yes,False
gas_mask,safety equipment,Is a gas mask a safety equipment? Answer only in yes or no.,Yes,yes,True
gas_mask,drink,Is a gas mask a drink? Answer only in yes or no.,No,yes,False
gasket,part of car,Is a gasket a part of car? Answer only in yes or no.,Yes,yes,True
gasket,sea animal,Is a gasket a sea animal? Answer only in yes or no.,No,yes,False
gasket,fastener,Is a gasket a fastener? Answer only in yes or no.,Yes,yes,True
gasket,vehicle,Is a gasket a vehicle? Answer only in yes or no.,No,yes,False
gauge,scientific equipment,Is a gauge a scientific equipment? Answer only in yes or no.,Yes,yes,True
gauge,vegetable,Is a gauge a vegetable? Answer only in yes or no.,No,yes,False
gauze,medical equipment,Is a gauze a medical equipment? Answer only in yes or no.,Yes,yes,True
gauze,mammal,Is a gauze a mammal? Answer only in yes or no.,No,yes,False
gavel,tool,Is a gavel a tool? Answer only in yes or no.,Yes,yes,True
gavel,dessert,Is a gavel a dessert? Answer only in yes or no.,No,yes,False
gazelle,mammal,Is a gazelle a mammal? Answer only in yes or no.,Yes,yes,True
gazelle,lighting,Is a gazelle a lighting? Answer only in yes or no.,No,yes,False
gazelle,animal,Is a gazelle an animal? Answer only in yes or no.,Yes,yes,True
gazelle,fastener,Is a gazelle a fastener? Answer only in yes or no.,No,yes,False
gearshift,part of car,Is a gearshift a part of car? Answer only in yes or no.,Yes,yes,True
gearshift,kitchen appliance,Is a gearshift a kitchen appliance? Answer only in yes or no.,No,yes,False
giraffe,mammal,Is a giraffe a mammal? Answer only in yes or no.,Yes,yes,True
giraffe,clothing,Is a giraffe a clothing? Answer only in yes or no.,No,yes,False
giraffe,animal,Is a giraffe an animal? Answer only in yes or no.,Yes,yes,True
giraffe,headwear,Is a giraffe a headwear? Answer only in yes or no.,No,yes,False
globe,home decor,Is a globe a home decor? Answer only in yes or no.,Yes,yes,True
globe,school supply,Is a globe a school supply? Answer only in yes or no.,No,yes,False
glove,protective clothing,Is a glove a protective clothing? Answer only in yes or no.,Yes,yes,True
glove,watercraft,Is a glove a watercraft? Answer only in yes or no.,No,yes,False
glove,clothing accessory,Is a glove a clothing accessory? Answer only in yes or no.,Yes,yes,True
glove,furniture,Is a glove a furniture? Answer only in yes or no.,No,yes,False
glove,clothing,Is a glove a clothing? Answer only in yes or no.,Yes,yes,True
glove,animal,Is a glove an animal? Answer only in yes or no.,No,yes,False
glove,outerwear,Is a glove an outerwear? Answer only in yes or no.,Yes,yes,True
glove,game,Is a glove a game? Answer only in yes or no.,No,yes,False
go-kart,vehicle,Is a go-kart a vehicle? Answer only in yes or no.,Yes,yes,True
go-kart,weapon,Is a go-kart a weapon? Answer only in yes or no.,No,yes,False
goat,food,Is a goat a food? Answer only in yes or no.,Yes,yes,True
goat,clothing,Is a goat a clothing? Answer only in yes or no.,No,yes,False
goat,mammal,Is a goat a mammal? Answer only in yes or no.,Yes,yes,True
goat,kitchen tool,Is a goat a kitchen tool? Answer only in yes or no.,No,yes,False
goat,animal,Is a goat an animal? Answer only in yes or no.,Yes,yes,True
goat,headwear,Is a goat a headwear? Answer only in yes or no.,No,yes,False
goat,farm animal,Is a goat a farm animal? Answer only in yes or no.,Yes,yes,True
goat,toy,Is a goat a toy? Answer only in yes or no.,No,yes,False
goblet,container,Is a goblet a container? Answer only in yes or no.,Yes,yes,True
goblet,condiment,Is a goblet a condiment? Answer only in yes or no.,No,yes,False
goggles,sports equipment,Is a goggles a sports equipment? Answer only in yes or no.,Yes,yes,True
goggles,drink,Is a goggles a drink? Answer only in yes or no.,No,yes,False
goldfish,animal,Is a goldfish an animal? Answer only in yes or no.,Yes,yes,True
goldfish,arts and crafts supply,Is a goldfish an arts and crafts supply? Answer only in yes or no.,No,yes,False
golf_cart,vehicle,Is a golf cart a vehicle? Answer only in yes or no.,Yes,yes,True
golf_cart,hardware,Is a golf cart a hardware? Answer only in yes or no.,No,yes,False
golf_club,sports equipment,Is a golf club a sports equipment? Answer only in yes or no.,Yes,yes,True
golf_club,watercraft,Is a golf club a watercraft? Answer only in yes or no.,No,yes,False
gondola,vehicle,Is a gondola a vehicle? Answer only in yes or no.,Yes,yes,True
gondola,office supply,Is a gondola an office supply? Answer only in yes or no.,No,yes,False
gondola,watercraft,Is a gondola a watercraft? Answer only in yes or no.,Yes,yes,True
gondola,furniture,Is a gondola a furniture? Answer only in yes or no.,No,yes,False
gong,musical instrument,Is a gong a musical instrument? Answer only in yes or no.,Yes,yes,True
